iShares Russell 2000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"283,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SOUN","SOUNDHOUND AI INC CLASS A","Information Technology","Equity","132,877,658.52","0.19","132,877,658.52","9,113,694.00","14.58","United States","NASDAQ","USD","1.00","USD","-"
"RYTM","RHYTHM PHARMACEUTICALS INC","Health Care","Equity","132,154,888.32","0.19","132,154,888.32","1,349,621.00","97.92","United States","NASDAQ","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","132,113,050.65","0.19","132,113,050.65","989,685.00","133.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXNM","TXNM ENERGY INC","Utilities","Equity","131,854,653.44","0.19","131,854,653.44","2,314,864.00","56.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","131,738,401.67","0.19","131,738,401.67","2,162,837.00","60.91","United States","NASDAQ","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","130,858,721.84","0.19","130,858,721.84","12,139,028.00","10.78","United States","NASDAQ","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","130,731,429.90","0.19","130,731,429.90","1,449,190.00","90.21","United States","NASDAQ","USD","1.00","USD","-"
"UPST","UPSTART HOLDINGS INC","Financials","Equity","130,226,606.28","0.19","130,226,606.28","2,094,012.00","62.19","United States","NASDAQ","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","129,453,546.24","0.19","129,453,546.24","812,334.00","159.36","United States","NASDAQ","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","128,242,062.65","0.18","128,242,062.65","8,194,381.00","15.65","United States","NASDAQ","USD","1.00","USD","-"
"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","128,108,133.12","0.18","128,108,133.12","1,548,696.00","82.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","127,802,028.20","0.18","127,802,028.20","1,615,702.00","79.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATGE","ADTALEM GLOBAL EDUCATION INC","Consumer Discretionary","Equity","127,478,320.20","0.18","127,478,320.20","919,757.00","138.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UEC","URANIUM ENERGY CORP","Energy","Equity","127,291,729.45","0.18","127,291,729.45","10,563,629.00","12.05","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Industrials","Equity","127,065,368.43","0.18","127,065,368.43","1,410,427.00","90.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CALM","CAL MAINE FOODS INC","Consumer Staples","Equity","126,871,996.88","0.18","126,871,996.88","1,142,888.00","111.01","United States","NASDAQ","USD","1.00","USD","-"
"BCO","BRINKS","Industrials","Equity","126,373,251.68","0.18","126,373,251.68","1,075,334.00","117.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
