iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WELL","WELLTOWER INC","Real Estate","Equity","80,529,165.41","0.18","80,529,165.41","478,003.00","168.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","79,967,920.59","0.18","79,967,920.59","331,281.00","241.39","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","78,280,866.16","0.18","78,280,866.16","3,180,856.00","24.61","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","77,472,039.32","0.17","77,472,039.32","674,726.00","114.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","77,231,192.49","0.17","77,231,192.49","111,879.00","690.31","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","77,222,682.06","0.17","77,222,682.06","178,187.00","433.38","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","76,570,402.08","0.17","76,570,402.08","270,672.00","282.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","74,589,130.59","0.17","74,589,130.59","187,707.00","397.37","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","73,933,587.96","0.17","73,933,587.96","802,492.00","92.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","73,277,339.76","0.16","73,277,339.76","360,156.00","203.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","73,190,531.18","0.16","73,190,531.18","415,454.00","176.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","72,690,666.00","0.16","72,690,666.00","228,587.00","318.00","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","72,108,842.96","0.16","72,108,842.96","93,688.00","769.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","71,775,027.48","0.16","71,775,027.48","152,476.00","470.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","71,579,111.15","0.16","71,579,111.15","493,615.00","145.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","70,565,476.06","0.16","70,565,476.06","1,484,339.00","47.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","70,515,778.80","0.16","70,515,778.80","198,804.00","354.70","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","69,148,328.69","0.16","69,148,328.69","566,279.00","122.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","68,818,075.92","0.15","68,818,075.92","262,284.00","262.38","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","68,409,517.86","0.15","68,409,517.86","916,158.00","74.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","68,283,934.76","0.15","68,283,934.76","829,091.00","82.36","United States","NASDAQ","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","68,161,974.30","0.15","68,161,974.30","261,970.00","260.19","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","67,511,762.88","0.15","67,511,762.88","162,726.00","414.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","67,088,407.32","0.15","67,088,407.32","622,226.00","107.82","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","66,963,405.70","0.15","66,963,405.70","340,694.00","196.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","65,955,274.00","0.15","65,955,274.00","91,630.00","719.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","64,776,089.19","0.15","64,776,089.19","184,953.00","350.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","64,759,671.45","0.15","64,759,671.45","813,053.00","79.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","63,663,303.75","0.14","63,663,303.75","540,665.00","117.75","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","62,807,218.76","0.14","62,807,218.76","170,357.00","368.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","62,787,517.29","0.14","62,787,517.29","844,713.00","74.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","62,749,052.95","0.14","62,749,052.95","393,485.00","159.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
